cid,has_image
12300,False
12301,False
12302,False
12303,False
12304,False
12305,False
12306,False
12307,False
12308,False
12309,False
12310,False
12311,False
12312,False
12313,False
12314,False
12315,False
12316,False
12317,False
12318,False
12319,False
12320,False
12321,False
12322,False
12323,False
12324,False
12325,False
12326,False
12327,False
12328,False
12329,False
12330,False
12331,False
12332,False
12333,False
12334,False
12335,False
12336,False
12337,False
12338,False
12339,False
12340,False
12341,False
12342,False
12343,False
12344,False
12345,False
12346,False
12347,False
12348,False
12349,False
12350,False
12351,False
12352,False
12353,False
12354,False
12355,False
12356,False
12357,False
12358,False
12359,False
12360,False
12361,False
12362,False
12363,False
12364,False
12365,False
12366,False
12367,False
12368,False
12369,False
12370,False
12371,False
12372,False
12373,False
12374,False
12375,False
12376,False
12377,False
12378,False
12379,False
12380,False
12381,False
12382,False
12383,False
12384,False
12385,False
12386,False
12387,False
12388,False
12389,False
12390,False
12391,False
12000,False
12001,False
12002,False
12003,False
12004,False
12005,False
12006,False
12007,False
12008,False
12009,False
12010,False
12011,False
12012,False
12013,False
12014,False
12015,False
12016,False
12017,False
12018,False
12019,False
12020,False
12021,False
12022,False
12023,False
12024,False
12025,False
12026,False
12027,False
12028,False
12029,False
12030,False
12031,False
12032,False
12033,False
12034,False
12035,False
12036,False
12037,False
12038,False
12039,False
12040,False
12041,False
12042,False
12043,False
12044,False
12045,False
12046,False
12047,False
12048,False
12049,False
12050,False
12051,False
12052,False
12053,False
12054,False
12055,False
12056,False
12057,False
12058,False
12059,False
12060,False
12061,False
12062,False
12063,False
12064,False
12065,False
12066,False
12067,False
12068,False
12069,False
12070,False
12071,False
12072,False
12073,False
12074,False
12075,False
12076,False
12077,False
12078,False
12079,False
12080,False
12081,False
12082,False
12083,False
12084,False
12085,False
12086,False
12087,False
12088,False
12089,False
12090,False
12091,False
12092,False
12093,False
12094,False
12095,False
12096,False
12097,False
12098,False
12099,False
12100,False
12101,False
12102,False
12103,False
12104,False
12105,False
12106,False
12107,False
12108,False
12109,False
12110,False
12111,False
12112,False
12113,False
12114,False
12115,False
12116,False
12117,False
12118,False
12119,False
12120,False
12121,False
12122,False
12123,False
12124,False
12125,False
12126,False
12127,False
12128,False
12129,False
12130,False
12131,False
12132,False
12133,False
12134,False
12135,False
12136,False
12137,False
12138,False
12139,False
12140,False
12141,False
12142,False
12143,False
12144,False
12145,False
12146,False
12147,False
12148,False
12149,False
12150,False
12151,False
12152,False
12153,False
12154,False
12155,False
12156,False
12157,False
12158,False
12159,False
12160,False
12161,False
12162,False
12163,False
12164,False
12165,False
12166,False
12167,False
12168,False
12169,False
12170,False
12171,False
12172,False
12173,False
12174,False
12175,False
12176,False
12177,False
12178,False
12179,False
12180,False
12181,False
12182,False
12183,False
12184,False
12185,False
12186,False
12187,False
12188,False
12189,False
12190,False
12191,False
12192,False
12193,False
12194,False
12195,False
12196,False
12197,False
12198,False
12199,False
12200,False
12201,False
12202,False
12203,False
12204,False
12205,False
12206,False
12207,False
12208,False
12209,False
12210,False
12211,False
12212,False
12213,False
12214,False
12215,False
12216,False
12217,False
12218,False
12219,False
12220,False
12221,False
12222,False
12223,False
12224,False
12225,False
12226,False
12227,False
12228,False
12229,False
12230,False
12231,False
12232,False
12233,False
12234,False
12235,False
12236,False
12237,False
12238,False
12239,False
12240,False
12241,False
12242,False
12243,False
12244,False
12245,False
12246,False
12247,False
12248,False
12249,False
12250,False
12251,False
12252,False
12253,False
12254,False
12255,False
12256,False
12257,False
12258,False
12259,False
12260,False
12261,False
12262,False
12263,False
12264,False
12265,False
12266,False
12267,False
12268,False
12269,False
12270,False
12271,False
12272,False
12273,False
12274,False
12275,False
12276,False
12277,False
12278,False
12279,False
12280,False
12281,False
12282,False
12283,False
12284,False
12285,False
12286,False
12287,False
12288,False
12289,False
12290,False
12291,False
12292,False
12293,False
12294,False
12295,False
12296,False
12297,False
12298,False
12299,False
13090,False
13091,False
13092,True
13093,True
13094,True
13095,True
13096,False
13097,False
13098,False
13099,False
13100,False
13101,False
13102,False
13103,False
13104,False
13105,False
13106,False
13107,False
13108,False
13109,False
13110,True
13111,True
13112,True
13113,True
13114,False
13115,True
13116,True
13117,True
13118,True
13119,True
13120,False
12392,True
12393,True
12394,True
12395,True
12396,True
12397,True
12398,True
12399,True
12400,True
12401,True
12402,True
12403,True
12404,True
12405,True
12406,True
12407,True
12408,True
12409,True
12410,True
12411,True
12412,True
12413,True
12414,True
12415,True
12416,False
12417,True
12418,True
12419,True
12420,True
12421,True
12422,False
12423,True
12424,True
12425,False
12426,False
12427,False
12428,False
12429,False
12430,True
12431,True
12432,True
12433,True
12434,True
12435,True
12436,True
12437,True
12438,False
12439,True
12440,False
12441,True
12442,True
12443,True
12444,True
12445,True
12446,False
12447,False
12448,True
12449,True
12450,True
12451,True
12452,True
12453,True
12454,True
12455,False
12456,False
12457,True
12458,True
12459,True
12460,True
12461,False
12462,False
12463,True
12464,False
12465,True
12466,True
12467,True
12468,True
12469,True
12470,True
12471,True
12472,True
12473,True
12474,True
12475,True
12476,True
12477,False
12478,True
12479,True
12480,True
12481,True
12482,True
12483,True
12484,True
12485,True
12486,True
12487,True
12488,True
12489,True
12490,True
12491,True
12492,True
12493,True
12494,True
12495,True
12496,True
12497,True
12498,True
12499,True
12500,True
12501,True
12502,True
12503,True
12504,True
12505,True
12506,True
12507,True
12508,True
12509,True
12510,True
12511,True
12512,True
12513,True
12514,True
12515,True
12516,True
12517,True
12518,True
12519,True
12520,True
12521,True
12522,True
12523,True
12524,True
12525,True
12526,True
12527,True
12528,True
12529,True
12530,True
12531,True
12532,True
12533,False
12534,True
12535,True
12536,True
12537,True
12538,True
12539,True
12540,True
12541,True
12542,True
12543,True
12544,True
12545,True
12546,True
12547,False
12548,False
12549,False
12550,True
12551,True
12552,True
12553,True
12554,False
12555,True
12556,True
12557,True
12558,False
12559,False
12560,False
12561,False
12562,True
12563,True
12564,True
12565,True
12566,True
12567,True
12568,True
12569,True
12570,True
12571,True
12572,True
12573,True
12574,True
12575,True
12576,True
12577,True
12578,True
12579,True
12580,True
12581,True
12582,True
12583,True
12584,True
12585,False
12586,False
12587,True
12588,False
12589,True
12590,True
12591,True
12592,True
12593,False
12594,True
12595,True
12596,True
12597,False
12598,True
12599,True
12600,True
12601,True
12602,True
12603,True
12604,False
12605,True
12606,True
12607,False
12608,True
12609,True
12610,True
12611,True
12612,True
12613,True
12614,True
12615,True
12616,True
12617,True
12618,True
12619,True
12620,True
12621,True
12622,True
12623,True
12624,True
12625,True
12626,False
12627,False
12628,True
12629,True
12630,True
12631,True
12632,True
12633,True
12634,False
12635,False
12636,True
12637,True
12638,True
12639,True
12640,True
12641,True
12642,True
12643,True
12644,True
12645,True
12646,True
12647,True
12648,True
12649,True
12650,True
12651,True
12652,True
12653,True
12654,True
12655,True
12656,False
12657,False
12658,True
12659,True
12660,True
12661,True
12662,True
12663,True
12664,False
12665,True
12666,False
12667,False
12668,True
12669,True
12670,True
12671,True
12672,False
12673,True
12674,False
12675,False
12676,True
12677,True
12678,True
12679,True
12680,True
12681,True
12682,False
12683,False
12684,False
12685,True
12686,True
12687,True
12688,True
12689,True
12690,False
12691,True
12692,True
12693,True
12694,True
12695,True
12696,True
12697,True
12698,True
12699,True
12700,True
12701,False
12702,True
12703,True
12704,True
12705,True
12706,True
12707,False
12708,True
12709,True
12710,True
12711,True
12712,True
12713,True
12714,True
12715,True
12716,True
12717,True
12718,True
12719,True
12720,True
12721,False
12722,False
12723,False
12724,False
12725,True
12726,False
12727,True
12728,True
12729,True
12730,True
12731,True
12732,True
12733,True
12734,True
12735,True
12736,True
12737,True
12738,True
12739,True
12740,True
12741,True
12742,True
12743,True
12744,True
12745,True
12746,True
12747,True
12748,False
12749,True
12750,True
12751,True
12752,False
12753,False
12754,False
12755,True
12756,True
12757,True
12758,True
12759,False
12760,False
12761,True
12762,True
12763,True
12764,True
12765,True
12766,False
12767,True
12768,True
12769,False
12770,False
12771,True
12772,True
12773,True
12774,True
12775,True
12776,True
12777,True
12778,False
12779,False
12780,False
12781,False
12782,False
12783,False
12784,False
12785,False
12786,False
12787,False
12788,False
12789,False
12790,False
12791,False
12792,False
12793,False
12794,False
12795,False
12796,False
12797,False
12798,False
12799,False
12800,False
12801,False
12802,False
12803,False
12804,False
12805,False
12806,False
12807,False
12808,False
12809,False
12810,False
12811,False
12812,False
12813,False
12814,False
12815,False
12816,False
12817,False
12818,False
12819,False
12820,False
12821,False
12822,False
12823,False
12824,True
12825,True
12826,False
12827,True
12828,True
12829,False
12830,True
12831,True
12832,False
12833,True
12834,True
12835,False
12836,True
12837,False
12838,True
12839,True
12840,True
12841,True
12842,True
12843,True
12844,True
12845,True
12846,True
12847,True
12848,False
12849,True
12850,True
12851,True
12852,False
12853,True
12854,True
12855,True
12856,False
12857,True
12858,True
12859,True
12860,True
12861,False
12862,True
12863,True
12864,True
12865,False
12866,True
12867,True
12868,True
12869,True
12870,False
12871,True
12872,True
12873,False
12874,True
12875,True
12876,True
12877,True
12878,True
12879,False
12880,True
12881,True
12882,True
12883,False
12884,True
12885,True
12886,True
12887,False
12888,False
12889,False
12890,False
12891,False
12892,False
12893,False
12894,False
12895,False
12896,True
12897,True
12898,True
12899,False
12900,True
12901,True
12902,True
12903,False
12904,True
12905,True
12906,True
12907,False
12908,True
12909,True
12910,True
12911,False
12912,True
12913,True
12914,True
12915,False
12916,True
12917,True
12918,True
12919,False
12920,True
12921,True
12922,True
12923,False
12924,True
12925,True
12926,True
12927,True
12928,False
12929,True
12930,True
12931,True
12932,True
12933,False
12934,True
12935,True
12936,True
12937,False
12938,True
12939,True
12940,True
12941,True
12942,True
12943,True
12944,True
12945,True
12946,True
12947,True
12948,True
12949,True
12950,True
12951,True
12952,True
12953,True
12954,True
12955,True
12956,True
12957,True
12958,True
12959,True
12960,True
12961,True
12962,True
12963,True
12964,True
12965,True
12966,True
12967,True
12968,False
12969,False
12970,False
12971,False
12972,True
12973,True
12974,False
12975,False
12976,False
12977,False
12978,True
12979,True
12980,True
12981,False
